Wvlgth nm,Global tilt W*m-2*nm-1
637.796,4.05E-02
638.141,3.80E-02
638.486,3.61E-02
638.831,3.43E-02
639.176,3.13E-02
639.521,3.02E-02
639.866,2.92E-02
640.211,2.82E-02
640.555,2.71E-02
640.9,2.72E-02
641.245,2.45E-02
641.589,2.19E-02
641.934,2.24E-02
642.278,2.00E-02
642.623,1.98E-02
642.967,1.94E-02
643.312,1.76E-02
643.656,1.85E-02
644,1.84E-02
644.344,1.80E-02
644.689,1.44E-02
645.033,1.54E-02
645.377,1.47E-02
645.721,1.37E-02
646.065,1.36E-02
646.409,1.21E-02
646.753,1.25E-02
647.096,1.21E-02
647.44,1.14E-02
647.784,1.25E-02
648.128,1.03E-02
648.471,1.12E-02
648.815,1.07E-02
649.158,1.02E-02
649.502,8.70E-03
649.845,8.40E-03
650.189,8.49E-03
650.532,1.02E-02
650.875,9.55E-03
651.218,9.68E-03
651.562,9.50E-03
651.905,8.15E-03
652.248,7.92E-03
652.591,8.80E-03
652.934,8.80E-03
653.277,8.99E-03
653.62,9.14E-03
653.963,8.22E-03
654.305,8.82E-03
654.648,7.76E-03
654.991,7.30E-03
655.334,8.37E-03
655.676,8.51E-03
656.019,8.80E-03
656.361,8.23E-03
656.704,7.77E-03
657.046,8.62E-03
657.389,8.38E-03
657.731,6.87E-03
658.073,8.20E-03
658.415,8.39E-03
658.757,7.68E-03
659.1,6.68E-03
659.442,7.87E-03
659.784,7.87E-03
660.126,7.39E-03
660.468,8.16E-03
660.809,8.60E-03
661.151,7.44E-03
661.493,8.65E-03
661.835,7.64E-03
662.177,6.96E-03
662.518,9.44E-03
662.86,7.68E-03
663.201,7.20E-03
663.543,6.61E-03
663.884,6.31E-03
664.226,6.95E-03
664.567,6.56E-03
664.908,6.61E-03
665.249,7.73E-03
665.591,7.44E-03
665.932,9.16E-03
666.273,7.04E-03
666.614,6.74E-03
666.955,6.59E-03
667.296,6.44E-03
667.637,7.28E-03
667.978,8.08E-03
668.318,8.93E-03
668.659,7.07E-03
669,8.23E-03
669.341,9.24E-03
669.681,6.52E-03
670.022,7.07E-03
670.362,6.92E-03
670.703,7.72E-03
671.043,6.45E-03
671.383,7.01E-03
671.724,7.06E-03
672.064,7.26E-03
672.404,8.54E-03
672.744,6.85E-03
673.085,7.77E-03
673.425,7.40E-03
673.765,7.30E-03
674.105,6.06E-03
674.444,6.48E-03
674.784,7.50E-03
675.124,8.23E-03
675.464,6.93E-03
675.804,6.87E-03
676.143,7.18E-03
676.483,8.69E-03
676.823,8.01E-03
677.162,7.85E-03
677.501,6.54E-03
677.841,7.12E-03
678.18,8.90E-03
678.52,7.90E-03
678.859,8.53E-03
679.198,7.74E-03
679.537,6.62E-03
679.876,7.20E-03
680.215,7.41E-03
680.555,7.99E-03
680.894,1.03E-02
681.232,7.72E-03
681.571,7.45E-03
681.91,8.31E-03
682.249,9.81E-03
682.588,8.19E-03
682.926,8.51E-03
683.265,8.67E-03
683.604,1.00E-02
683.942,7.85E-03
684.281,7.14E-03
684.619,6.63E-03
684.957,8.50E-03
685.296,8.10E-03
685.634,7.11E-03
685.972,8.54E-03
686.31,7.48E-03
686.649,7.54E-03
686.987,9.26E-03
687.325,7.97E-03
687.663,8.59E-03
688.001,8.41E-03
688.338,9.36E-03
688.676,9.25E-03
689.014,9.92E-03
689.352,8.16E-03
689.69,9.64E-03
690.027,9.23E-03
690.365,7.24E-03
690.702,8.42E-03
691.04,7.85E-03
691.377,8.76E-03
691.715,9.62E-03
692.052,7.64E-03
692.389,8.03E-03
692.726,9.14E-03
693.064,9.19E-03
693.401,8.66E-03
693.738,6.41E-03
694.075,8.24E-03
694.412,9.05E-03
694.749,9.29E-03
695.086,7.79E-03
695.423,8.91E-03
695.759,6.99E-03
696.096,8.83E-03
696.433,8.83E-03
696.769,1.00E-02
697.106,9.41E-03
697.443,9.65E-03
697.779,9.15E-03
698.116,1.10E-02
698.452,1.02E-02
698.788,1.07E-02
699.125,1.04E-02
699.461,1.07E-02
699.797,9.15E-03
700.133,1.01E-02
700.469,8.30E-03
700.805,1.00E-02
701.141,1.09E-02
701.477,9.10E-03
701.813,8.63E-03
702.149,9.00E-03
702.485,9.83E-03
702.82,1.06E-02
703.156,9.86E-03
703.492,9.60E-03
703.827,9.52E-03
704.163,9.19E-03
704.498,9.17E-03
704.834,1.00E-02
705.169,1.05E-02
705.505,1.20E-02
705.84,1.06E-02
706.175,1.09E-02
706.51,8.86E-03
706.845,1.03E-02
707.18,9.37E-03
707.515,1.07E-02
707.85,1.14E-02
708.185,9.25E-03
708.52,1.10E-02
708.855,1.07E-02
709.19,1.10E-02
709.525,1.07E-02
709.859,1.12E-02
710.194,1.05E-02
710.529,1.03E-02
710.863,9.81E-03
711.198,7.97E-03
711.532,9.62E-03
711.866,9.31E-03
712.201,9.17E-03
712.535,1.14E-02
712.869,9.46E-03
713.203,8.51E-03
713.537,1.03E-02
713.872,1.04E-02
714.206,1.18E-02
714.54,1.23E-02
714.873,1.17E-02
715.207,1.06E-02
715.541,8.08E-03
715.875,1.07E-02
716.209,1.17E-02
716.542,9.17E-03
716.876,9.21E-03
717.21,1.08E-02
717.543,1.08E-02
717.877,9.51E-03
718.21,9.77E-03
718.543,7.84E-03
718.877,1.03E-02
719.21,1.18E-02
719.543,9.93E-03
719.876,1.03E-02
720.209,1.00E-02
720.542,1.04E-02
720.875,8.58E-03
721.208,1.07E-02
721.541,1.02E-02
721.874,1.09E-02
722.207,1.10E-02
722.54,1.13E-02
722.872,1.14E-02
723.205,1.03E-02
723.538,1.23E-02
723.87,1.23E-02
724.203,9.52E-03
724.535,1.21E-02
724.868,1.12E-02
725.2,1.33E-02
725.532,1.08E-02
725.865,1.23E-02
726.197,1.12E-02
726.529,1.13E-02
726.861,1.32E-02
727.193,1.13E-02
727.525,1.03E-02
727.857,1.16E-02
728.189,1.26E-02
728.521,1.33E-02
728.853,9.94E-03
729.184,1.18E-02
729.516,1.26E-02
729.848,1.12E-02
730.179,9.73E-03
730.511,1.26E-02
730.842,1.03E-02
731.174,1.24E-02
731.505,1.01E-02
731.836,9.60E-03
732.168,1.10E-02
732.499,1.15E-02
732.83,1.19E-02
733.161,1.03E-02
733.492,1.24E-02
733.823,9.99E-03
734.154,1.23E-02
734.485,1.15E-02
734.816,1.23E-02
735.147,1.08E-02
735.478,1.15E-02
735.808,1.37E-02
736.139,1.48E-02
736.47,1.02E-02
736.8,1.12E-02
737.131,1.22E-02
737.461,1.25E-02
737.792,1.15E-02
738.122,1.04E-02
738.452,1.29E-02
738.782,1.26E-02
739.113,9.85E-03
739.443,1.18E-02
739.773,1.47E-02
740.103,1.29E-02
740.433,1.27E-02
740.763,1.22E-02
741.093,1.30E-02
741.423,1.22E-02
741.752,9.90E-03
742.082,1.28E-02
742.412,1.09E-02
742.742,9.26E-03
743.071,1.28E-02
743.401,1.13E-02
743.73,1.28E-02
744.06,1.32E-02
744.389,1.26E-02
744.718,1.36E-02
745.048,1.48E-02
745.377,1.33E-02
745.706,1.24E-02
746.035,1.17E-02
746.364,1.11E-02
746.693,1.19E-02
747.022,1.48E-02
747.351,9.80E-03
747.68,1.39E-02
748.009,1.33E-02
748.338,1.14E-02
748.666,1.33E-02
748.995,1.33E-02
749.323,1.54E-02
749.652,1.24E-02
749.981,1.17E-02
750.309,1.41E-02
750.637,1.47E-02
750.966,1.46E-02
751.294,1.59E-02
751.622,1.39E-02
751.95,1.73E-02
752.279,1.60E-02
752.607,1.28E-02
752.935,1.40E-02
753.263,1.30E-02
753.591,1.42E-02
753.919,1.26E-02
754.246,1.33E-02
754.574,1.32E-02
754.902,1.45E-02
755.23,1.59E-02
755.557,1.39E-02
755.885,1.36E-02
756.212,1.54E-02
756.54,1.41E-02
756.867,1.58E-02
757.195,1.59E-02
757.522,1.47E-02
757.849,1.28E-02
758.176,1.40E-02
758.503,1.47E-02
758.831,1.52E-02
759.158,1.24E-02
759.485,1.59E-02
759.812,1.59E-02
760.138,1.91E-02
760.465,1.47E-02
760.792,1.49E-02
761.119,1.48E-02
761.446,1.55E-02
761.772,1.58E-02
762.099,1.56E-02
762.425,1.45E-02
762.752,1.23E-02
763.078,1.57E-02
763.405,1.33E-02
763.731,1.39E-02
764.057,1.93E-02
764.383,1.82E-02
764.71,1.25E-02
765.036,1.74E-02
765.362,1.50E-02
765.688,1.47E-02
766.014,1.66E-02
766.34,1.35E-02
766.665,1.71E-02
766.991,1.50E-02
767.317,1.63E-02
767.643,1.44E-02
767.968,1.55E-02
768.294,1.45E-02
768.619,1.21E-02
768.945,1.57E-02
769.27,1.05E-02
769.596,1.54E-02
769.921,1.69E-02
770.246,1.26E-02
770.572,1.42E-02
770.897,1.52E-02
771.222,1.68E-02
771.547,1.48E-02
771.872,1.27E-02
772.197,1.67E-02
772.522,1.71E-02
772.847,1.58E-02
773.171,1.65E-02
773.496,1.98E-02
773.821,1.73E-02
774.146,1.89E-02
774.47,1.52E-02
774.795,1.63E-02
775.119,1.52E-02
775.444,1.71E-02
775.768,1.81E-02
776.092,1.80E-02
776.417,1.62E-02
776.741,2.00E-02
777.065,1.71E-02
777.389,1.59E-02
777.713,1.73E-02
778.037,1.68E-02
778.361,1.65E-02
778.685,1.96E-02
779.009,1.40E-02
779.333,1.89E-02
779.657,2.35E-02
779.98,1.71E-02
780.304,1.69E-02
780.627,1.93E-02
780.951,1.89E-02
781.274,1.77E-02
781.598,2.04E-02
781.921,2.01E-02
782.245,1.97E-02
782.568,1.97E-02
782.891,2.04E-02
783.214,1.79E-02
783.537,2.27E-02
783.861,2.05E-02
784.184,2.06E-02
784.506,1.81E-02
784.829,2.14E-02
785.152,1.66E-02
785.475,2.05E-02
785.798,1.93E-02
786.12,2.04E-02
786.443,1.64E-02
