Wvlgth nm,Global tilt W*m-2*nm-1
495.656,1.86E-02
496.019,1.90E-02
496.383,1.75E-02
496.746,1.71E-02
497.109,1.71E-02
497.473,1.57E-02
497.836,1.49E-02
498.199,1.68E-02
498.563,1.55E-02
498.926,1.51E-02
499.289,1.45E-02
499.652,1.37E-02
500.015,1.32E-02
500.378,1.39E-02
500.741,1.23E-02
501.104,1.26E-02
501.467,1.31E-02
501.829,1.26E-02
502.192,1.17E-02
502.555,1.24E-02
502.918,1.22E-02
503.28,1.15E-02
503.643,1.17E-02
504.005,9.79E-03
504.368,1.10E-02
504.73,1.07E-02
505.093,1.18E-02
505.455,1.08E-02
505.817,9.71E-03
506.18,1.06E-02
506.542,9.42E-03
506.904,1.04E-02
507.266,9.13E-03
507.628,8.63E-03
507.991,9.70E-03
508.353,8.34E-03
508.715,9.23E-03
509.076,9.16E-03
509.438,9.19E-03
509.8,8.66E-03
510.162,7.63E-03
510.524,8.73E-03
510.885,7.99E-03
511.247,8.16E-03
511.609,8.41E-03
511.97,7.39E-03
512.332,6.97E-03
512.693,8.83E-03
513.055,9.00E-03
513.416,7.78E-03
513.778,6.62E-03
514.139,8.02E-03
514.5,7.67E-03
514.861,8.19E-03
515.223,7.36E-03
515.584,8.12E-03
515.945,7.15E-03
516.306,7.22E-03
516.667,6.85E-03
517.028,7.12E-03
517.389,6.88E-03
517.75,6.74E-03
518.11,7.40E-03
518.471,7.88E-03
518.832,6.58E-03
519.193,6.85E-03
519.553,6.10E-03
519.914,6.10E-03
520.274,6.75E-03
520.635,6.96E-03
520.995,7.77E-03
521.356,5.42E-03
521.716,5.78E-03
522.076,6.96E-03
522.437,6.52E-03
522.797,5.24E-03
523.157,6.45E-03
523.517,6.52E-03
523.877,6.29E-03
524.238,5.42E-03
524.598,6.26E-03
524.958,6.80E-03
525.317,5.69E-03
525.677,7.00E-03
526.037,6.57E-03
526.397,6.07E-03
526.757,5.94E-03
527.116,6.77E-03
527.476,6.37E-03
527.836,7.03E-03
528.195,6.93E-03
528.555,6.00E-03
528.914,6.53E-03
529.274,7.13E-03
529.633,6.08E-03
529.993,6.31E-03
530.352,5.91E-03
530.711,5.98E-03
531.07,6.14E-03
531.429,7.29E-03
531.789,5.82E-03
532.148,6.28E-03
532.507,5.78E-03
532.866,6.34E-03
533.225,6.11E-03
533.584,5.26E-03
533.942,5.62E-03
534.301,6.01E-03
534.66,5.52E-03
535.019,6.05E-03
535.377,6.08E-03
535.736,5.95E-03
536.095,6.54E-03
536.453,6.41E-03
536.812,5.49E-03
537.17,6.44E-03
